pID	EF	cluster	Year	DomainID	Title
35932473	0.000000155776	28:6:361	2000	4	Aberrant replication timing induces defective chromosome condensation in Drosophila ORC2 mutants
35932732	0.00000050551	12:32:64	2001	4	Sister chromatid cohesion is required for postreplicative double-strand break repair in Saccharomyces cerevisiae
35933587	0.000000332482	12:32:118	2002	4	Eco1 Is a Novel Acetyltransferase that Can Acetylate Proteins Involved in Cohesion
35933604	0.000000158193	12:32:268	2002	4	Requirement of Chromatid Cohesion Proteins Rad21/Scc1 and Mis4/Scc2 for Normal Spindle-Kinetochore Interaction in Fission Yeast
35934056	0.000000230509	12:32:173	2003	4	Chromosome Cohesion and Separation: From Men and Molecules
35935060	0.0000000961612	12:32:383	2005	4	Ctf7p/Eco1p exhibits acetyltransferase activity–but does it matter?
35935910	0.0000000475717	12:32:574	2006	4	Sister-Chromatid Telomere Cohesion Is Nonredundant and Resists Both Spindle Forces and Telomere Motility
35937194	0.0000000430422	12:11:1244	2009	4	Protein Phosphatase 1 Regulates Exit from the Spindle Checkpoint in Budding Yeast
35937439	0.0000000682234	12:32:477	2009	4	Budding Yeast Wpl1(Rad61)-Pds5 Complex Counteracts Sister Chromatid Cohesion-Establishing Reaction
35937708	0.0000000160448	12:32:851	2009	4	Establishment of Sister Chromatid Cohesion
35937904	0.0000000203724	12:32:786	2010	4	Hos1 Is a Lysine Deacetylase for the Smc3 Subunit of Cohesin
35941223	0.000000105332	28:163:19	2005	4	The role of SMC proteins in the responses to DNA damage
35984315	0.00000015634	12:32:270	2000	4	Separation anxiety at the centromere
35985341	0.000000010583	12:32:939	2010	4	Buck the establishment: reinventing sister chromatid cohesion
36046129	0.0000000384259	12:32:625	2002	4	Chromosome cohesion: ring around the sisters?
36068193	0.000000138246	12:32:293	1999	4	Sister chromatid cohesion in mitosis
36072558	0.000000111854	12:11:695	1999	4	Progression into and out of mitosis
36072603	0.000000175975	12:38:205	2000	4	Centromeres: getting a grip of chromosomes
36072750	0.000000145653	12:32:281	2001	4	Chromosome cohesion and segregation in mitosis and meiosis
36073270	0.0000000291915	28:163:42	2007	4	Chromosome segregation and double-strand break repair — a complex connection
36119548	0.000000940528	12:32:15	2000	4	Cohesin's Binding to Chromosomes Depends on a Separate Complex Consisting of Scc2 and Scc4 Proteins
36119790	0.000000120814	12:32:335	2001	4	Identification of RFC(Ctf18p, Ctf8p, Dcc1p)
36120143	0.00000035401	12:32:108	2002	4	The SUMO-1 Isopeptidase Smt4 Is Linked to Centromeric Cohesion through SUMO-1 Modification of DNA Topoisomerase II
36120466	0.000000225449	12:32:177	2004	4	The RSC Nucleosome-Remodeling Complex Is Required for Cohesin's Association With Chromosome Arms
36120693	0.000000439599	12:32:77	2004	4	Postreplicative Recruitment of Cohesin to Double-Strand Breaks Is Required for DNA Repair
36120808	0.0000000931988	12:32:392	2005	4	Sororin, a Substrate of the Anaphase- Promoting Complex, Is Required for Sister Chromatid Cohesion in Vertebrates
36121165	0.000000231307	12:32:172	2006	4	PCNA Controls Establishment of Sister Chromatid Cohesion during S Phase
36121173	0.000000238173	12:32:168	2006	4	Establishment of Sister Chromatid Cohesion at the S. cerevisiae Replication Fork
36121403	0.0000000841778	12:32:426	2007	4	A Physical Assay for Sister Chromatid Cohesion In Vitro
36121611	0.0000000911829	12:49:308	2008	4	Toward a Comprehensive Temperature-Sensitive Mutant Repository of the Essential Genes of Saccharomyces cerevisiae
36121657	0.000000169793	12:32:248	2008	4	Acetylation of Smc3 by Eco1 Is Required for S Phase Sister Chromatid Cohesion in Both Human and Yeast
36121661	0.0000000875559	12:32:414	2008	4	The Kleisin Subunit of Cohesin Dictates Damage-Induced Cohesion
36121866	0.0000000958782	12:32:386	2009	4	Building Sister Chromatid Cohesion: Smc3 Acetylation Counteracts an Antiestablishment Activity
36121895	0.000000049552	12:32:564	2009	4	Distinct Targets of the Eco1 Acetyltransferase Modulate Cohesion in S Phase and in Response to DNA Damage
36136212	0.000000807148	12:32:26	1999	4	Cohesins Bind to Preferential Sites along Yeast Chromosome III, with Differential Regulation along Arms versus the Centric Region
36136505	0.000000749847	12:32:32	2000	4	Disjunction of Homologous Chromosomes in Meiosis I Depends on Proteolytic Cleavage of the Meiotic Cohesin Rec8 by Separin
36137694	0.000000227711	28:15:103	2005	4	Initiation of DNA Replication Requires the RECQL4 Protein Mutated in Rothmund-Thomson Syndrome
36138262	0.000000112413	28:6:511	2007	4	The Origin Recognition Complex Functions in Sister-Chromatid Cohesion in Saccharomyces cerevisiae
36146524	0.000000540994	12:32:59	2001	4	Scc1/Rad21/Mcd1 Is Required for Sister Chromatid Cohesion and Kinetochore Function in Vertebrate Cells
36259148	0.0000000113236	28:6:1661	2006	4	Direct interaction between cohesin complex and DNA replication machinery
36321883	0.0000000951205	12:32:387	2006	4	Cohesin and DNA damage repair
36323301	0.00000000252438	12:32:1127	2010	4	S-phase and DNA damage activated establishment of Sister chromatid cohesion—importance for DNA repair
36371344	0.0000000104817	12:32:942	2008	4	Differential requirements of a mitotic acetyltransferase in somatic and germ line cells
37052795	0.000000264983	12:32:150	2005	4	Roberts syndrome is caused by mutations in ESCO2, a human homolog of yeast ECO1 that is essential for the establishment of sister chromatid cohesion
37073763	0.000000315608	12:32:122	2003	4	Condensin and cohesin: more than chromosome compactor and glue
37079118	0.000000305431	28:2:342	2008	4	Regulation of DNA repair throughout the cell cycle
37094248	0.000000133389	12:38:284	2002	4	Co-localization of centromere activity, proteins and topoisomerase II within a subdomain of the major human X a-satellite array
37096340	0.00000000515573	12:32:1036	2007	4	What is your assay for sister-chromatid cohesion?
37096513	0.000000060811	12:32:514	2008	4	Cell-cycle regulation of cohesin stability along fission yeast chromosomes
37097098	0.00000000513482	28:6:1915	2009	4	Tipin/Tim1/And1 protein complex promotes Pola chromatin binding and sister chromatid cohesion
37098360	0.0000000248815	28:6:1301	2005	4	The chromosome cycle: coordinating replication and segregation
37098988	0.0000000028249	12:32:1078	2007	4	Rmi1, a member of the Sgs1–Top3 complex in budding yeast, contributes to sister chromatid cohesion
37099510	0.0000000212805	12:32:773	2009	4	A matter of choice: the establishment of sister chromatid cohesion
37126021	0.0000000100975	12:32:958	2010	5	Cohesin: a regulator of genome integrity and gene expression
37500737	0.000000631703	12:32:42	2000	4	Characterization of Vertebrate Cohesin Complexes and Their Regulation in Prophase
37505137	0.000000028408	12:32:700	2010	4	Cohesinopathies, gene expression, and chromatin organization
37801893	0.000000891211	12:32:18	1999	4	Ctf7p is essential for sister chromatid cohesion and links mitotic chromosome structure to the DNA replication machinery
38029535	0.000000293897	2:11855:1	1999	5	Structural maintenance of chromosomes (SMC) proteins. Conserved molecular properties for multiple biological functions
38032144	0.0000000265259	12:32:724	2002	5	Beyond the ABCs of CKC and SCC. Do centromeres orchestrate sister chromatid cohesion or vice versa?
38140123	0.00000000286862	12:32:1073	2008	6	Cloning of<i>Xenopus</i>orthologs of Ctf7/Eco1 acetyltransferase and initial characterization of XEco2
38357856	0.0000000807672	12:32:439	2008	4	Cohesin and Human Disease
38358591	0.000000363114	12:32:103	2001	4	THE MOLECULAR BASIS OF SISTER-CHROMATID COHESION
38358698	0.000000137569	12:32:295	2008	4	Sister Chromatid Cohesion: A Simple Concept with a Complex Reality
38359540	0.000000676973	12:32:35	2001	4	DISSEMINATING THE GENOME: Joining, Resolving, and Separating Sister Chromatids During Mitosis and Meiosis
38369770	0.000000535615	12:32:61	2000	5	CHROMOSOME COHESION, CONDENSATION, AND SEPARATION
38369912	0.000000737988	12:32:33	2005	5	THE STRUCTURE AND FUNCTION OF SMC AND KLEISIN COMPLEXES
38384465	0.00000000504876	12:32:1050	2008	4	Global Transcriptional Analysis of Yeast Cell Death Induced by Mutation of Sister Chromatid Cohesin
38772207	0.00000000820424	12:32:978	2005	4	Chromosome Cohesion: A Cycle of Holding Together and Falling Apart
39164141	0.0000000797222	12:32:442	2001	4	The cohesin complex: sequence homologies, interaction networks and shared motifs
43982922	0.00000000529625	28:9:1330	2005	4	Meiosis: inducing variation by reduction
46350669	0.000000062313	28:2657:1	2008	4	Proliferating cell nuclear antigen: a proteomics view
46350813	0.00000000252438	12:32:1129	2009	4	Cohesins: chromatin architects in chromosome segregation, control of gene expression and much more
47089618	0.00000004996	12:32:561	2009	4	On the Molecular Etiology of Cornelia de Lange Syndrome
47594687	0.00000000252438	12:32:1125	0	4	Sister Chromatid Cohesion and Centromere Organization in Meiosis
47776838	0.00000000757315	12:32:1004	2003	4	Structural Proteins of the SMC (Structural Maintenance of Chromosomes) Family and Their Role in Chromatin Reorganization
48039656	0.000000015082	2:105:913	2003	4	Interaction between proliferating cell nuclear antigen and JUN-activation-domain-binding protein 1 in the meristem of rice,<SMALL> Oryza sativa</SMALL> L.
48707302	0.00000000252438	12:32:1158	2001	4	Co-localization of chicken DNA topoisomerase IIa, but not ß, with sites of DNA replication and possible involvement of a C-terminal region of a through its binding to PCNA
49054672	0.00000000252438	28:2:2662	2003	8	The effect of transient loading on contact replenishment with lubricating greases
50119940	0.0000000137158	12:32:888	1998	8	Automated Sea Ice Segmentation (ASIS)
50403848	0.00000000778351	12:32:990	2004	8	A max min ant system applied to the capacitated clustering problem
52729178	0.00000000252438	12:32:1123	2010	4	Replication Factor C Complexes Play Unique Pro- and Anti-Establishment Roles in Sister Chromatid Cohesion
53373918	0.00000000252438	12:32:1124	2011	4	A Zebrafish Model of Roberts Syndrome Reveals That Esco2 Depletion Interferes with Development by Disrupting the Cell Cycle
56649496	0.0000000275418	12:32:708	2000	4	Cohesin ensures bipolar attachment of microtubules to sister centromeres and resists their precocious separation
